ValueMeaning	LabelValueMeaning	Referentiel	url	ConceptualDomain	TypeConceptualDomain	FormatConceptualDomain	IdDataElementConcept		ObjectClass	ObjectProperty	DataElementConcept	DefDataElementConcept
					nonEnumerated	String	O1	comments	Specimen	Laboratory	Laboratory	Identifier of the laboratory / center that identified the specimen
					nonEnumerated	String	O2		Specimen	PatientId	PatientId	Identifier of the patient that links to the clinical data (depends on the center)
					nonEnumerated	String	O3		Specimen	SpecimenId	SpecimenId	Genetic sample or derived product identifier
					Enumerated	String	O4		Technology	TechnicalProtocol MolecularType | Domain	TechnicalProtocol MolecularType | Domain	
					Enumerated	String	O5		Technology	TechnologyType	TechnologyType	Technology used for the experiment
					Enumerated	String	O6		Technology	TechnicalProtocol	TechnicalProtocol	Protocol used for the experiment
					Enumerated	String	O7		Technology	PlatformName	PlatformName	Technological platform name (provider followed by the platform name)
					Enumerated	String	O8		Technology	PlatformAccession	PlatformAccession	GEO Identifier of the platform
					nonEnumerated	Date	O9		Technology	DateOfExperiment	DateOfExperiment	Date when the experiment was performed
					Enumerated	String	O10		Panel	PanelName	PanelName	Name of the panel targeted by the experimental analysis (provider + name)
					nonEnumerated	String	O11		Analysis	AnalyticPipelineCode	AnalyticPipelineCode	Identifier of the pipeline used into the analysis (unique in the center)
					nonEnumerated	Integer	O12		Experiment on specimen	AlgorithmicCellularity	AlgorithmicCellularity	Calculated percentage of tumor cells in sample
					Enumerated	String	O13		Experiment on specimen	AlgorithmicPloïdy	AlgorithmicPloïdy	Calculated number of sets of chromosomes in a cell of the sample
					nonEnumerated	Integer	O14		Experiment on specimen/CpyNb Quality filter	NumberOfBreakPoints	NumberOfBreakPoints	Calculated number of break points in genomic profile
Gene expression	Gene expression	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Protein expression	Protein expression	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Fusion	Fusion	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Copy number variation	Copy number variation	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Genetic variant	Genetic variant	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Structural alteration	Structural alteration	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Transcription factor	Transcription factor	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Histone marks	Histone marks	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Transcript isoform	Transcript isoform	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Viral insertion site	Viral insertion site	OSIRIS		OSIRIS:AlterationType	Enumerated	String	O15		Alteration	AlterationType	AlterationType	General type of the detected genetic alteration (high level type)
Experimental	Experimental	OSIRIS			Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
By biologist	By biologist	OSIRIS			Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
In silico	In silico	OSIRIS			Enumerated	String	O16		Alteration	ValidationType	ValidationType	Type of validation of the detected alteration
		OSIRIS			nonEnumerated	String	O17		Validation	ValidationMethod	ValidationMethod	Validation method depending on the type of validation
Not Validated	Not Validated	OSIRIS			Enumerated	String	O18		Validation	ValidationStatus	ValidationStatus	Validation status of the detected alteration
Validated	Validated	OSIRIS			Enumerated	String	O18		Validation	ValidationStatus	ValidationStatus	Validation status of the detected alteration
LA21254-0	chr1	LOINC	http://r.details.loinc.org/AnswerList/LL2938-0.html	LOINC:LL2938-0	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21255-7	chr2	LOINC	http://r.details.loinc.org/AnswerList/LL2938-0.html	LOINC:LL2938-0	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21256-5	chr3	LOINC	http://r.details.loinc.org/AnswerList/LL2938-0.html	LOINC:LL2938-0	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21257-3	chr4	LOINC	http://r.details.loinc.org/AnswerList/LL2938-0.html	LOINC:LL2938-0	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
LA21258-1	chr5	LOINC	http://r.details.loinc.org/AnswerList/LL2938-0.html	LOINC:LL2938-0	Enumerated	String	O19		Alteration	Chromosome	Chromosome	Chromosome containing the genetic finding
